kommnr;Kommune;arsverk_2020;arsverk_2021_for;Brutto_driftsutgifter_helse_2021;Folkemengde_2021;arsverk_2021_end;x;kostragr;kostranavn;kommnavn;imp
1576;1576 Aure;3,3;3,3;140833;3468;3,3;NA;EKG06;KOSTRA-gruppe 6;Aure;1
1577;1577 Volda;11,0;NA;403283;10781;11,5;NA;EKG07;KOSTRA-gruppe 7;Volda;2
1578;1578 Fjord;3,9;3,9;128766;2502;3,9;NA;EKG06;KOSTRA-gruppe 6;Fjord;1
1579;1579 Hustadvika;11,6;12,3;454132;13317;12,3;NA;EKG07;KOSTRA-gruppe 7;Hustadvika;1
1804;1804 Bodï¿½;63,2;63,4;1622348;52560;63,4;NA;EKG11;KOSTRA-gruppe 11;Bod�;1
1806;1806 Narvik;26,6;26,5;966397;21661;26,5;NA;EKG09;KOSTRA-gruppe 9;Narvik;1
1811;1811 Bindal;2,0;2,0;88429;1397;2,0;NA;EKG15;KOSTRA-gruppe 15;Bindal;1
1812;1812 Sï¿½mna;3,7;2,7;81678;1990;2,7;NA;EKG15;KOSTRA-gruppe 15;S�mna;1
1813;1813 Brï¿½nnï¿½y;10,6;10,6;300664;7803;10,6;NA;EKG02;KOSTRA-gruppe 2;Br�nn�y;1
1815;1815 Vega;2,0;1,8;54341;1182;1,8;NA;EKG14;KOSTRA-gruppe 14;Vega;1
1816;1816 Vevelstad;1,0;1,0;26424;465;1,0;NA;EKG16;KOSTRA-gruppe 16;Vevelstad;1
1818;1818 Herï¿½y (Nordland);3,1;2,8;77434;1793;2,8;NA;EKG15;KOSTRA-gruppe 15;Her�y (Nordland);1
1820;1820 Alstahaug;11,3;11,0;257968;7394;11,0;NA;EKG02;KOSTRA-gruppe 2;Alstahaug;1
1822;1822 Leirfjord;3,3;3,3;100827;2278;3,3;NA;EKG05;KOSTRA-gruppe 5;Leirfjord;1
1824;1824 Vefsn;16,0;17,0;498009;13268;17,0;NA;EKG08;KOSTRA-gruppe 8;Vefsn;1
1825;1825 Grane;1,0;1,0;65233;1453;1,0;NA;EKG14;KOSTRA-gruppe 14;Grane;1
1826;1826 Hattfjelldal;2,5;2,5;78303;1267;2,5;NA;EKG15;KOSTRA-gruppe 15;Aarborte - Hattfjelldal;1
1827;1827 Dï¿½nna;1,6;1,7;66505;1371;1,7;NA;EKG15;KOSTRA-gruppe 15;D�nna;1
1828;1828 Nesna;0,4;0,4;98280;1701;0,4;NA;EKG15;KOSTRA-gruppe 15;Nesna;1
1832;1832 Hemnes;2,6;1,9;202338;4428;1,9;NA;EKG06;KOSTRA-gruppe 6;Hemnes;1
1833;1833 Rana;28,7;28,7;901597;26083;28,7;NA;EKG09;KOSTRA-gruppe 9;Rana;1
1834;1834 Lurï¿½y;1,8;1,7;84291;1876;1,7;NA;EKG15;KOSTRA-gruppe 15;Lur�y;1
1835;1835 Trï¿½na;0,6;0,6;26995;442;0,6;NA;EKG16;KOSTRA-gruppe 16;Tr�na;1
1836;1836 Rï¿½dï¿½y;2,0;2,0;67042;1206;2,0;NA;EKG15;KOSTRA-gruppe 15;R�d�y;1
1837;1837 Melï¿½y;8,6;9,6;317944;6247;9,6;NA;EKG06;KOSTRA-gruppe 6;Mel�y;1
1838;1838 Gildeskï¿½l;2,6;2,6;98864;1920;2,6;NA;EKG15;KOSTRA-gruppe 15;Gildesk�l;1
1839;1839 Beiarn;1,2;1,5;69829;999;1,5;NA;EKG15;KOSTRA-gruppe 15;Beiarn;1
1840;1840 Saltdal;5,8;5,8;246089;4632;5,8;NA;EKG05;KOSTRA-gruppe 5;Saltdal;1
1841;1841 Fauske - Fuossko;11,0;12,8;336631;9640;12,8;NA;EKG02;KOSTRA-gruppe 2;Fauske - Fuossko;1
1845;1845 Sï¿½rfold;3,1;3,1;115749;1912;3,1;NA;EKG15;KOSTRA-gruppe 15;S�rfold;1
1848;1848 Steigen;2,0;2,0;129318;2586;2,0;NA;EKG06;KOSTRA-gruppe 6;Steigen;1
1851;1851 Lï¿½dingen;2,0;2,0;127889;2003;2,0;NA;EKG05;KOSTRA-gruppe 5;L�dingen;1
1853;1853 Evenes;3,0;1,3;66527;1324;1,3;NA;EKG14;KOSTRA-gruppe 14;Evenes - Even�??i;1
1856;1856 Rï¿½st;0,4;0,4;27182;488;0,4;NA;EKG16;KOSTRA-gruppe 16;R�st;1
1857;1857 Vï¿½rï¿½y;1,0;1,0;35871;698;1,0;NA;EKG14;KOSTRA-gruppe 14;V�r�y;1
1859;1859 Flakstad;2,1;2,1;79940;1238;2,1;NA;EKG15;KOSTRA-gruppe 15;Flakstad;1
1860;1860 Vestvï¿½gï¿½y;12,8;12,8;406832;11521;12,8;NA;EKG08;KOSTRA-gruppe 8;Vestv�g�y;1
1865;1865 Vï¿½gan;11,8;10,0;376464;9670;10,0;NA;EKG02;KOSTRA-gruppe 2;V�gan;1
1866;1866 Hadsel;10,0;10,0;309357;8065;10,0;NA;EKG03;KOSTRA-gruppe 3;Hadsel;1
1867;1867 Bï¿½;3,1;3,1;134564;2576;3,1;NA;EKG05;KOSTRA-gruppe 5;B�;1
1868;1868 ï¿½ksnes;6,4;6,2;186683;4416;6,2;NA;EKG02;KOSTRA-gruppe 2;�ksnes;1
1870;1870 Sortland;12,8;12,8;342040;10514;12,8;NA;EKG08;KOSTRA-gruppe 8;Sortland - Suort�;1
1871;1871 Andï¿½y;6,0;6,0;178349;4588;6,0;NA;EKG04;KOSTRA-gruppe 4;And�y;1
1874;1874 Moskenes;1,0;NA;98105;989;1,0;NA;EKG15;KOSTRA-gruppe 15;Moskenes;2
1875;1875 Hamarï¿½y;3,0;3,0;155727;2701;3,0;NA;EKG06;KOSTRA-gruppe 6;H�bmer - Hamar�y;1
3001;3001 Halden;27,0;27,0;1244518;31387;27,0;NA;EKG10;KOSTRA-gruppe 10;Halden;1
3002;3002 Moss;41,1;45,5;1590629;49668;42,5;NA;EKG11;KOSTRA-gruppe 11;Moss;1
3003;3003 Sarpsborg;43,9;44,6;1954235;57372;44,6;NA;EKG11;KOSTRA-gruppe 11;Sarpsborg;1
3004;3004 Fredrikstad;64,8;68,8;2683721;83193;68,8;NA;EKG12;KOSTRA-gruppe 12;Fredrikstad;1
3005;3005 Drammen;103,9;107,9;2926030;101859;107,9;NA;EKG12;KOSTRA-gruppe 12;Drammen;1
3006;3006 Kongsberg;32,0;32,0;915964;27694;32,0;NA;EKG09;KOSTRA-gruppe 9;Kongsberg;1
3007;3007 Ringerike;34,6;35,1;968830;30835;35,1;NA;EKG10;KOSTRA-gruppe 10;Ringerike;1
3011;3011 Hvaler;3,0;3,3;166939;4694;3,3;NA;EKG02;KOSTRA-gruppe 2;Hvaler;1
3012;3012 Aremark;1,0;1,0;62729;1325;1,0;NA;EKG14;KOSTRA-gruppe 14;Aremark;1
3013;3013 Marker;3,8;4,4;139321;3601;4,4;NA;EKG01;KOSTRA-gruppe 1;Marker;1
3014;3014 Indre ï¿½stfold;34,8;35,3;1413515;45201;35,3;NA;EKG10;KOSTRA-gruppe 10;Indre �stfold;1
3015;3015 Skiptvet;3,5;3,5;111740;3825;3,5;NA;EKG01;KOSTRA-gruppe 1;Skiptvet;1
3016;3016 Rakkestad;11,2;11,4;297685;8222;11,4;NA;EKG01;KOSTRA-gruppe 1;Rakkestad;1
3017;3017 Rï¿½de;5,0;6,0;260027;7568;6,0;NA;EKG01;KOSTRA-gruppe 1;R�de;1
3018;3018 Vï¿½ler (ï¿½stfold);7,0;7,0;142265;5805;7,0;NA;EKG01;KOSTRA-gruppe 1;V�ler (Viken);1
3019;3019 Vestby;15,4;16,3;429079;18290;16,3;NA;EKG07;KOSTRA-gruppe 7;Vestby;1
3020;3020 Nordre Follo;61,6;62,1;1707172;60034;62,1;NA;EKG11;KOSTRA-gruppe 11;Nordre Follo;1
3021;3021 ï¿½s;19,9;18,9;545838;20439;18,9;NA;EKG09;KOSTRA-gruppe 9;�s;1
3022;3022 Frogn;18,0;18,0;475265;15953;18,0;NA;EKG07;KOSTRA-gruppe 7;Frogn;1
3023;3023 Nesodden;16,1;15,8;507157;19805;15,8;NA;EKG07;KOSTRA-gruppe 7;Nesodden;1
3024;3024 Bï¿½rum;121,1;123,3;4463529;128233;123,4;NA;EKG12;KOSTRA-gruppe 12;B�rum;1
3025;3025 Asker;96,8;99,6;2872668;94915;99,6;NA;EKG12;KOSTRA-gruppe 12;Asker;1
3026;3026 Aurskog-Hï¿½land;14,1;14,9;481923;17591;14,9;NA;EKG07;KOSTRA-gruppe 7;Aurskog-H�land;1
3027;3027 Rï¿½lingen;14,6;14,6;460294;18730;14,6;NA;EKG07;KOSTRA-gruppe 7;R�lingen;1
3028;3028 Enebakk;10,0;10,0;269219;11065;10,0;NA;EKG07;KOSTRA-gruppe 7;Enebakk;1
3029;3029 Lï¿½renskog;38,9;38,5;1020058;42740;38,5;NA;EKG10;KOSTRA-gruppe 10;L�renskog;1
3030;3030 Lillestrï¿½m;76,4;77,4;2225999;86953;77,4;NA;EKG12;KOSTRA-gruppe 12;Lillestr�m;1
3031;3031 Nittedal;19,9;17,9;611020;24454;17,9;NA;EKG09;KOSTRA-gruppe 9;Nittedal;1
3032;3032 Gjerdrum;7,7;6,3;194020;7043;6,3;NA;EKG01;KOSTRA-gruppe 1;Gjerdrum;1
3033;3033 Ullensaker;32,1;33,3;1689673;40459;33,3;NA;EKG10;KOSTRA-gruppe 10;Ullensaker;1
3034;3034 Nes;26,1;24,8;584620;23422;24,8;NA;EKG09;KOSTRA-gruppe 9;Nes;1
3035;3035 Eidsvoll;22,7;22,7;696257;26031;22,7;NA;EKG09;KOSTRA-gruppe 9;Eidsvoll;1
3036;3036 Nannestad;9,0;11,3;320954;14637;11,3;NA;EKG07;KOSTRA-gruppe 7;Nannestad;1
3037;3037 Hurdal;2,5;2,5;99791;2838;2,5;NA;EKG04;KOSTRA-gruppe 4;Hurdal;1
3038;3038 Hole;6,1;6,0;209492;6811;6,0;NA;EKG01;KOSTRA-gruppe 1;Hole;1
3039;3039 Flï¿½;2,0;2,0;54153;1049;2,0;NA;EKG15;KOSTRA-gruppe 15;Fl�;1
3040;3040 Nesbyen;5,0;4,3;196471;3262;4,3;NA;EKG04;KOSTRA-gruppe 4;Nesbyen;1
3041;3041 Gol;5,4;5,9;220346;4636;5,9;NA;EKG05;KOSTRA-gruppe 5;Gol;1
3042;3042 Hemsedal;4,0;4,5;107449;2546;4,5;NA;EKG04;KOSTRA-gruppe 4;Hemsedal;1
3043;3043 ï¿½l;7,6;7,6;243685;4648;7,6;NA;EKG05;KOSTRA-gruppe 5;�l;1
3044;3044 Hol;6,0;6,0;218345;4434;6,0;NA;EKG03;KOSTRA-gruppe 3;Hol;1
3045;3045 Sigdal;5,7;5,7;148256;3465;5,7;NA;EKG04;KOSTRA-gruppe 4;Sigdal;1
3046;3046 Krï¿½dsherad;3,1;4,0;84878;2219;4,0;NA;EKG04;KOSTRA-gruppe 4;Kr�dsherad;1
3047;3047 Modum;18,2;17,2;457706;14166;17,2;NA;EKG07;KOSTRA-gruppe 7;Modum;1
3048;3048 ï¿½vre Eiker;16,2;16,2;569899;19709;16,2;NA;EKG07;KOSTRA-gruppe 7;�vre Eiker;1
3049;3049 Lier;17,0;23,0;769515;27118;22,0;NA;EKG09;KOSTRA-gruppe 9;Lier;1
3050;3050 Flesberg;2,1;2,1;101310;2713;2,1;NA;EKG04;KOSTRA-gruppe 4;Flesberg;1
3051;3051 Rollag;2,3;2,3;74394;1386;2,3;NA;EKG14;KOSTRA-gruppe 14;Rollag;1
3052;3052 Nore og Uvdal;3,6;3,6;124507;2412;3,6;NA;EKG06;KOSTRA-gruppe 6;Nore og Uvdal;1
3053;3053 Jevnaker;7,6;6,1;187009;6867;6,6;NA;EKG01;KOSTRA-gruppe 1;Jevnaker;1
3054;3054 Lunner;10,3;NA;280769;9062;9,5;NA;EKG01;KOSTRA-gruppe 1;Lunner;2
3401;3401 Kongsvinger;21,5;20,7;648359;17851;20,7;NA;EKG07;KOSTRA-gruppe 7;Kongsvinger;1
3403;3403 Hamar;35,5;35,1;1322635;31509;35,1;NA;EKG10;KOSTRA-gruppe 10;Hamar;1
3405;3405 Lillehammer;31,8;30,5;961554;28493;30,5;NA;EKG09;KOSTRA-gruppe 9;Lillehammer;1
3407;3407 Gjï¿½vik;37,8;37,8;1044780;30395;37,8;NA;EKG10;KOSTRA-gruppe 10;Gj�vik;1
3411;3411 Ringsaker;35,0;35,2;1186883;34897;35,2;NA;EKG10;KOSTRA-gruppe 10;Ringsaker;1
3412;3412 Lï¿½ten;8,5;8,5;229874;7625;8,5;NA;EKG01;KOSTRA-gruppe 1;L�ten;1
3413;3413 Stange;18,7;19,2;752486;21072;19,2;NA;EKG09;KOSTRA-gruppe 9;Stange;1
3414;3414 Nord-Odal;5,6;5,6;211121;5038;5,6;NA;EKG01;KOSTRA-gruppe 1;Nord-Odal;1
3415;3415 Sï¿½r-Odal;10,0;9,5;263537;7914;9,5;NA;EKG01;KOSTRA-gruppe 1;S�r-Odal;1
3416;3416 Eidskog;7,7;6,7;340551;6099;6,7;NA;EKG04;KOSTRA-gruppe 4;Eidskog;1
3417;3417 Grue;4,7;4,3;212078;4545;4,3;NA;EKG01;KOSTRA-gruppe 1;Grue;1
3418;3418 ï¿½snes;8,6;8,8;337979;7227;8,8;NA;EKG01;KOSTRA-gruppe 1;�snes;1
3419;3419 Vï¿½ler (Hedmark);3,1;3,1;148577;3587;3,1;NA;EKG04;KOSTRA-gruppe 4;V�ler (Innlandet);1
3420;3420 Elverum;21,3;20,5;702615;21292;20,5;NA;EKG09;KOSTRA-gruppe 9;Elverum;1
3421;3421 Trysil;9,0;9,0;348267;6580;9,0;NA;EKG04;KOSTRA-gruppe 4;Trysil;1
3422;3422 ï¿½mot;6,3;NA;163266;4338;6,3;NA;EKG04;KOSTRA-gruppe 4;�mot;2
3423;3423 Stor-Elvdal;2,0;2,7;112231;2378;2,7;NA;EKG05;KOSTRA-gruppe 5;Stor-Elvdal;1
3424;3424 Rendalen;2,0;2,0;71122;1741;2,0;NA;EKG14;KOSTRA-gruppe 14;Rendalen;1
3425;3425 Engerdal;2,1;2,2;70401;1250;2,2;NA;EKG15;KOSTRA-gruppe 15;Engerdal;1
3426;3426 Tolga;1,6;1,9;50539;1563;1,9;NA;EKG14;KOSTRA-gruppe 14;Tolga;1
3427;3427 Tynset;6,0;0,2;237421;5537;6,0;NA;EKG02;KOSTRA-gruppe 2;Tynset;1
3428;3428 Alvdal;3,8;3,8;100777;2405;3,8;NA;EKG05;KOSTRA-gruppe 5;Alvdal;1
3429;3429 Folldal;2,9;2,7;81971;1518;2,7;NA;EKG14;KOSTRA-gruppe 14;Folldal;1
3430;3430 Os;1,8;1,8;95540;1870;1,8;NA;EKG14;KOSTRA-gruppe 14;Os;1
3431;3431 Dovre;3,8;4,2;100403;2512;4,2;NA;EKG04;KOSTRA-gruppe 4;Dovre;1
3432;3432 Lesja;2,2;2,2;85393;1980;2,2;NA;EKG14;KOSTRA-gruppe 14;Lesja;1
3433;3433 Skjï¿½k;2,5;2,5;100708;2183;2,5;NA;EKG05;KOSTRA-gruppe 5;Skj�k;1
3434;3434 Lom;2,5;2,7;107445;2204;2,7;NA;EKG05;KOSTRA-gruppe 5;Lom;1
3435;3435 Vï¿½gï¿½;4,9;4,9;155061;3564;4,9;NA;EKG04;KOSTRA-gruppe 4;V�g�;1
3436;3436 Nord-Fron;7,0;7,1;249187;5705;7,1;NA;EKG02;KOSTRA-gruppe 2;Nord-Fron;1
3437;3437 Sel;6,4;7,0;217497;5592;7,0;NA;EKG04;KOSTRA-gruppe 4;Sel;1
3438;3438 Sï¿½r-Fron;5,9;4,2;118682;3064;4,2;NA;EKG05;KOSTRA-gruppe 5;S�r-Fron;1
3439;3439 Ringebu;6,1;5,9;183697;4408;6,0;NA;EKG02;KOSTRA-gruppe 2;Ringebu;1
3440;3440 ï¿½yer;5,7;5,7;199615;5093;5,7;NA;EKG02;KOSTRA-gruppe 2;�yer;1
3441;3441 Gausdal;6,2;6,2;227446;6023;6,2;NA;EKG01;KOSTRA-gruppe 1;Gausdal;1
3442;3442 ï¿½stre Toten;16,5;16,5;511057;14871;16,5;NA;EKG07;KOSTRA-gruppe 7;�stre Toten;1
3443;3443 Vestre Toten;13,6;15,4;404579;13459;15,4;NA;EKG07;KOSTRA-gruppe 7;Vestre Toten;1
3446;3446 Gran;14,3;13,6;496130;13611;13,6;NA;EKG07;KOSTRA-gruppe 7;Gran;1
3447;3447 Sï¿½ndre Land;6,1;6,0;261753;5579;6,0;NA;EKG04;KOSTRA-gruppe 4;S�ndre Land;1
3448;3448 Nordre Land;8,7;8,7;268330;6581;8,7;NA;EKG01;KOSTRA-gruppe 1;Nordre Land;1
3449;3449 Sï¿½r-Aurdal;3,8;3,8;157474;2904;3,8;NA;EKG04;KOSTRA-gruppe 4;S�r-Aurdal;1
3450;3450 Etnedal;1,5;1,5;64360;1257;1,5;NA;EKG14;KOSTRA-gruppe 14;Etnedal;1
3451;3451 Nord-Aurdal;8,7;8,7;308645;6360;8,7;NA;EKG02;KOSTRA-gruppe 2;Nord-Aurdal;1
3452;3452 Vestre Slidre;2,2;2,2;88050;2120;2,2;NA;EKG05;KOSTRA-gruppe 5;Vestre Slidre;1
3453;3453 ï¿½ystre Slidre;3,8;3,8;132945;3236;3,8;NA;EKG04;KOSTRA-gruppe 4;�ystre Slidre;1
3454;3454 Vang;2,0;2,0;95221;1573;2,0;NA;EKG15;KOSTRA-gruppe 15;Vang;1
3801;3801 Horten;19,8;19,8;840912;27510;19,8;NA;EKG09;KOSTRA-gruppe 9;Horten;1
