kommnr;Kommune;arsverk_2020;arsverk_2021_for;Brutto_driftsutgifter_helse_2021;Folkemengde_2021;arsverk_2021_end;x;kostragr;kostranavn;kommnavn;imp
4613;4613 Bï¿½mlo;8,6;8,8;430254;11953;8,8;NA;EKG08;KOSTRA-gruppe 8;B�mlo;1
4614;4614 Stord;14,3;14,3;620768;18861;14,3;NA;EKG07;KOSTRA-gruppe 7;Stord;1
4615;4615 Fitjar;3,2;3,1;125254;3147;3,1;NA;EKG05;KOSTRA-gruppe 5;Fitjar;1
4616;4616 Tysnes;3,6;3,6;121362;2924;3,6;NA;EKG05;KOSTRA-gruppe 5;Tysnes;1
4617;4617 Kvinnherad;14,0;14,0;508588;13039;14,0;NA;EKG08;KOSTRA-gruppe 8;Kvinnherad;1
4618;4618 Ullensvang;12,5;13,3;524242;11002;13,3;NA;EKG08;KOSTRA-gruppe 8;Ullensvang;1
4619;4619 Eidfjord;1,9;1,4;62929;903;1,4;NA;EKG17;KOSTRA-gruppe 17;Eidfjord;1
4620;4620 Ulvik;2,0;2,2;55557;1061;2,2;NA;EKG14;KOSTRA-gruppe 14;Ulvik;1
4621;4621 Voss;15,9;18,1;543790;15787;18,1;NA;EKG07;KOSTRA-gruppe 7;Voss;1
4622;4622 Kvam;11,6;11,6;344157;8461;11,6;NA;EKG05;KOSTRA-gruppe 5;Kvam;1
4623;4623 Samnanger;2,0;2,0;90072;2504;2,0;NA;EKG04;KOSTRA-gruppe 4;Samnanger;1
4624;4624 Bjï¿½rnafjorden;19,2;20,2;868050;25049;20,2;NA;EKG09;KOSTRA-gruppe 9;Bj�rnafjorden;1
4625;4625 Austevoll;4,5;5,3;168150;5276;5,3;NA;EKG02;KOSTRA-gruppe 2;Austevoll;1
4626;4626 ï¿½ygarden;29,6;30,0;1009586;38664;30,0;NA;EKG10;KOSTRA-gruppe 10;�ygarden;1
4627;4627 Askï¿½y;19,7;21,5;754147;29594;21,5;NA;EKG09;KOSTRA-gruppe 9;Ask�y;1
4628;4628 Vaksdal;4,3;4,3;188932;3918;4,3;NA;EKG05;KOSTRA-gruppe 5;Vaksdal;1
4629;4629 Modalen;1,0;1,0;37163;376;1,0;NA;EKG17;KOSTRA-gruppe 17;Modalen;1
4630;4630 Osterï¿½y;8,0;8,0;283451;8080;8,0;NA;EKG01;KOSTRA-gruppe 1;Oster�y;1
4631;4631 Alver;29,4;30,5;1048587;29337;30,5;NA;EKG09;KOSTRA-gruppe 9;Alver;1
4632;4632 Austrheim;3,1;2,4;110504;2860;2,4;NA;EKG04;KOSTRA-gruppe 4;Austrheim;1
4633;4633 Fedje;1,0;1,0;33231;525;1,0;NA;EKG16;KOSTRA-gruppe 16;Fedje;1
4634;4634 Masfjorden;2,0;2,0;91721;1660;2,0;NA;EKG14;KOSTRA-gruppe 14;Masfjorden;1
4635;4635 Gulen;2,0;2,0;129447;2272;2,0;NA;EKG06;KOSTRA-gruppe 6;Gulen;1
4636;4636 Solund;1,0;2,0;43679;786;2,0;NA;EKG15;KOSTRA-gruppe 15;Solund;1
4637;4637 Hyllestad;2,6;2,3;83379;1294;2,3;NA;EKG14;KOSTRA-gruppe 14;Hyllestad;1
4638;4638 Hï¿½yanger;5,6;5,6;212694;4049;5,6;NA;EKG06;KOSTRA-gruppe 6;H�yanger;1
4639;4639 Vik;3,8;3,8;151366;2611;3,8;NA;EKG06;KOSTRA-gruppe 6;Vik;1
4640;4640 Sogndal;13,1;13,1;521176;11938;13,1;NA;EKG08;KOSTRA-gruppe 8;Sogndal;1
4641;4641 Aurland;2,0;NA;110241;1777;3,0;NA;EKG17;KOSTRA-gruppe 17;Aurland;2
4642;4642 Lï¿½rdal;3,4;3,3;120345;2129;3,3;NA;EKG05;KOSTRA-gruppe 5;L�rdal;1
4643;4643 ï¿½rdal;6,4;6,4;285693;5170;6,4;NA;EKG02;KOSTRA-gruppe 2;�rdal;1
4644;4644 Luster;7,1;6,7;225094;5189;6,7;NA;EKG05;KOSTRA-gruppe 5;Luster;1
4645;4645 Askvoll;4,0;4,0;155348;2991;4,0;NA;EKG04;KOSTRA-gruppe 4;Askvoll;1
4646;4646 Fjaler;2,7;2,8;141224;2885;2,8;NA;EKG05;KOSTRA-gruppe 5;Fjaler;1
4647;4647 Sunnfjord;22,0;22,0;789141;22020;22,0;NA;EKG09;KOSTRA-gruppe 9;Sunnfjord;1
4648;4648 Bremanger;4,3;4,4;210947;3597;4,4;NA;EKG05;KOSTRA-gruppe 5;Bremanger;1
4649;4649 Stad;10,2;9,4;366157;9517;9,4;NA;EKG02;KOSTRA-gruppe 2;Stad;1
4650;4650 Gloppen;8,0;8,8;231940;5885;8,8;NA;EKG04;KOSTRA-gruppe 4;Gloppen;1
4651;4651 Stryn;7,5;7,8;254309;7118;7,8;NA;EKG01;KOSTRA-gruppe 1;Stryn;1
5001;5001 Trondheim;208,3;209,1;5658953;207595;209,1;NA;EKG12;KOSTRA-gruppe 12;Trondheim;1
5006;5006 Steinkjer;16,3;23,0;772433;24152;23,4;NA;EKG09;KOSTRA-gruppe 9;Steinkjer;1
5007;5007 Namsos;14,7;14,7;596804;15096;14,7;NA;EKG08;KOSTRA-gruppe 8;Namsos - N�avmesjenjaelmie;1
5014;5014 Frï¿½ya;4,0;4,0;201392;5204;4,0;NA;EKG03;KOSTRA-gruppe 3;Fr�ya;1
5020;5020 Osen;1,2;1,2;41388;925;1,2;NA;EKG15;KOSTRA-gruppe 15;Osen;1
5021;5021 Oppdal;6,6;6,6;252364;6981;6,6;NA;EKG02;KOSTRA-gruppe 2;Oppdal;1
5022;5022 Rennebu;3,5;3,5;111119;2454;3,5;NA;EKG05;KOSTRA-gruppe 5;Rennebu;1
5025;5025 Rï¿½ros;5,8;5,0;221183;5550;5,0;NA;EKG02;KOSTRA-gruppe 2;R�ros;1
5026;5026 Holtï¿½len;1,5;1,4;81969;1968;1,4;NA;EKG14;KOSTRA-gruppe 14;Holt�len;1
5027;5027 Midtre Gauldal;5,0;5,9;218512;6243;5,9;NA;EKG01;KOSTRA-gruppe 1;Midtre Gauldal;1
5028;5028 Melhus;14,6;14,9;506426;16949;14,9;NA;EKG07;KOSTRA-gruppe 7;Melhus;1
5029;5029 Skaun;6,3;5,7;170665;8367;5,7;NA;EKG01;KOSTRA-gruppe 1;Skaun;1
5031;5031 Malvik;12,9;13,0;353980;14334;13,0;NA;EKG07;KOSTRA-gruppe 7;Malvik;1
5032;5032 Selbu;5,0;5,0;164293;4069;5,0;NA;EKG04;KOSTRA-gruppe 4;Selbu;1
5033;5033 Tydal;1,1;1,4;47559;759;1,4;NA;EKG17;KOSTRA-gruppe 17;Tydal;1
5034;5034 Merï¿½ker;3,3;3,8;114842;2413;3,8;NA;EKG05;KOSTRA-gruppe 5;Mer�ker;1
5035;5035 Stjï¿½rdal;18,8;20,9;772217;24283;20,9;NA;EKG09;KOSTRA-gruppe 9;Stj�rdal;1
5036;5036 Frosta;2,8;2,8;95366;2609;2,8;NA;EKG04;KOSTRA-gruppe 4;Frosta;1
5037;5037 Levanger;24,8;23,3;634536;20170;23,3;NA;EKG09;KOSTRA-gruppe 9;Levanger;1
5038;5038 Verdal;12,1;12,4;444588;14986;12,4;NA;EKG07;KOSTRA-gruppe 7;Verdal;1
5041;5041 Snï¿½ase - Snï¿½sa;1,8;1,8;89665;2054;1,8;NA;EKG05;KOSTRA-gruppe 5;Sn�ase - Sn�sa;1
5042;5042 Lierne;1,8;2,0;68507;1328;2,0;NA;EKG15;KOSTRA-gruppe 15;Lierne;1
5043;5043 Raarvihke - Rï¿½yrvik;0,8;0,8;32492;459;0,8;NA;EKG16;KOSTRA-gruppe 16;Raarvihke - R�yrvik;1
5044;5044 Namsskogan;1,1;1,0;52154;846;1,0;NA;EKG15;KOSTRA-gruppe 15;Namsskogan;1
5045;5045 Grong;3,5;3,3;106431;2347;3,3;NA;EKG06;KOSTRA-gruppe 6;Grong;1
5046;5046 Hï¿½ylandet;2,2;2,2;67185;1215;2,2;NA;EKG14;KOSTRA-gruppe 14;H�ylandet;1
5047;5047 Overhalla;3,4;3,6;114229;3865;3,6;NA;EKG04;KOSTRA-gruppe 4;Overhalla;1
5049;5049 Flatanger;2,2;NA;57305;1100;2,2;NA;EKG15;KOSTRA-gruppe 15;Flatanger;2
5052;5052 Leka;1,0;1,0;42999;563;1,0;NA;EKG16;KOSTRA-gruppe 16;Leka;1
5053;5053 Inderï¿½y;12,0;NA;203344;6764;8,0;NA;EKG01;KOSTRA-gruppe 1;Inder�y;2
5054;5054 Indre Fosen;9,4;9,4;389421;9948;9,4;NA;EKG07;KOSTRA-gruppe 7;Indre Fosen;1
5055;5055 Heim;5,3;5,5;223689;5941;5,5;NA;EKG02;KOSTRA-gruppe 2;Heim;1
5056;5056 Hitra;5,4;5,4;192727;5140;5,4;NA;EKG03;KOSTRA-gruppe 3;Hitra;1
5057;5057 ï¿½rland;10,1;11,0;313834;10306;11,0;NA;EKG08;KOSTRA-gruppe 8;�rland;1
5058;5058 ï¿½fjord;6,0;6,0;203679;4271;6,0;NA;EKG06;KOSTRA-gruppe 6;�fjord;1
5059;5059 Orkland;18,9;19,4;641844;18300;19,4;NA;EKG07;KOSTRA-gruppe 7;Orkland;1
5060;5060 Nï¿½rï¿½ysund;7,5;10,0;396327;9581;10,0;NA;EKG03;KOSTRA-gruppe 3;N�r�ysund;1
5061;5061 Rindal;1,8;1,8;99628;1989;1,8;NA;EKG04;KOSTRA-gruppe 4;Rindal;1
5401;5401 Tromsï¿½;72,0;74,2;2368003;77095;74,2;NA;EKG12;KOSTRA-gruppe 12;Troms�;1
5402;5402 Harstad;45,2;33,5;883048;24738;33,5;NA;EKG09;KOSTRA-gruppe 9;Harstad - H�rstt�k;1
5403;5403 Alta;24,0;25,0;894541;20847;25,0;NA;EKG09;KOSTRA-gruppe 9;Alta;1
5404;5404 Vardï¿½;2,8;2,8;77909;1959;2,8;NA;EKG03;KOSTRA-gruppe 3;Vard�;1
5405;5405 Vadsï¿½;7,8;7,8;254240;5642;7,8;NA;EKG03;KOSTRA-gruppe 3;Vads�;1
5406;5406 Hammerfest;11,0;8,6;563448;11331;8,6;NA;EKG08;KOSTRA-gruppe 8;Hammerfest - H�mmerfeasta;1
5411;5411 Kvï¿½fjord;5,8;5,8;237437;2822;5,8;NA;EKG06;KOSTRA-gruppe 6;Kv�fjord;1
5412;5412 Tjeldsund;4,0;5,8;209050;4209;5,8;NA;EKG06;KOSTRA-gruppe 6;Dielddanuorri - Tjeldsund;1
5413;5413 Ibestad;1,0;1,0;83080;1320;1,0;NA;EKG15;KOSTRA-gruppe 15;Ibestad;1
5414;5414 Gratangen;1,7;1,9;61556;1092;1,9;NA;EKG15;KOSTRA-gruppe 15;Gratangen;1
5415;5415 Loabï¿½k - Lavangen;1,0;1,0;53971;1020;1,0;NA;EKG15;KOSTRA-gruppe 15;Loab�k - Lavangen;1
5416;5416 Bardu;4,0;4,0;159804;3959;4,0;NA;EKG06;KOSTRA-gruppe 6;Bardu;1
5417;5417 Salangen;2,0;2,0;112991;2089;2,0;NA;EKG06;KOSTRA-gruppe 6;Salangen;1
5418;5418 Mï¿½lselv;5,8;5,8;260917;6609;5,8;NA;EKG02;KOSTRA-gruppe 2;M�lselv;1
5419;5419 Sï¿½rreisa;3,0;3,0;122915;3465;3,0;NA;EKG01;KOSTRA-gruppe 1;S�rreisa;1
5420;5420 Dyrï¿½y;2,0;2,0;55884;1063;2,0;NA;EKG15;KOSTRA-gruppe 15;Dyr�y;1
5421;5421 Senja;17,6;17,7;677316;14725;17,7;NA;EKG08;KOSTRA-gruppe 8;Senja;1
5422;5422 Balsfjord;6,3;6,2;249939;5559;6,2;NA;EKG04;KOSTRA-gruppe 4;Balsfjord;1
5423;5423 Karlsï¿½y;3,0;3,0;123517;2172;3,0;NA;EKG06;KOSTRA-gruppe 6;Karls�y;1
5424;5424 Lyngen;4,0;4,0;142023;2773;4,0;NA;EKG05;KOSTRA-gruppe 5;Lyngen;1
5425;5425 Storfjord - Omasvuotna - Omasvuono;2,0;1,8;88699;1831;1,8;NA;EKG15;KOSTRA-gruppe 15;Storfjord - Omasvuotna - Omasvuono;1
5426;5426 Gï¿½ivuotna - Kï¿½fjord - Kaivuono;2,1;2,1;104559;2072;2,1;NA;EKG06;KOSTRA-gruppe 6;G�ivuotna - K�fjord - Kaivuono;1
5427;5427 Skjervï¿½y;3,8;NA;129106;2893;4,0;NA;EKG06;KOSTRA-gruppe 6;Skjerv�y;2
5428;5428 Nordreisa;5,0;5,0;189278;4812;5,0;NA;EKG05;KOSTRA-gruppe 5;Nordreisa - R�isa - Raisi;1
5429;5429 Kvï¿½nangen;2,8;2,8;84296;1166;2,8;NA;EKG15;KOSTRA-gruppe 15;Kv�nangen;1
5430;5430 Guovdageaidnu-Kautokeino;3,1;2,1;143681;2920;2,1;NA;EKG06;KOSTRA-gruppe 6;Guovdageaidnu - Kautokeino;1
5432;5432 Loppa;1,9;2,0;70794;860;2,0;NA;EKG15;KOSTRA-gruppe 15;Loppa;1
5433;5433 Hasvik;1,0;1,0;65577;983;1,0;NA;EKG15;KOSTRA-gruppe 15;Hasvik;1
5434;5434 Mï¿½sï¿½y;1,0;1,0;66852;1197;1,0;NA;EKG15;KOSTRA-gruppe 15;M�s�y;1
5435;5435 Nordkapp;3,0;3,0;123004;3075;3,0;NA;EKG03;KOSTRA-gruppe 3;Nordkapp;1
5436;5436 Porsanger - Porsï¿½?gu - Porsankiï¿½;6,1;5,1;144943;3921;5,1;NA;EKG03;KOSTRA-gruppe 3;Porsanger - Pors�ngu - Porsanki;1
5437;5437 Kï¿½rï¿½johka-Karasjok;2,4;1,9;116669;2641;1,9;NA;EKG05;KOSTRA-gruppe 5;K�r�?johka - Karasjok;1
5438;5438 Lebesby;2,0;2,0;77524;1271;2,0;NA;EKG15;KOSTRA-gruppe 15;Lebesby;1
5439;5439 Gamvik;1,0;1,0;63180;1097;1,0;NA;EKG15;KOSTRA-gruppe 15;Gamvik;1
5440;5440 Berlevï¿½g;1,0;1,0;59145;928;1,0;NA;EKG15;KOSTRA-gruppe 15;Berlev�g;1
5441;5441 Deatnu-Tana;3,3;NA;147260;2829;3,2;NA;EKG06;KOSTRA-gruppe 6;Deatnu - Tana;2
5442;5442 Unjï¿½rga-Nesseby;1,0;1,1;53082;880;1,1;NA;EKG15;KOSTRA-gruppe 15;Unj�rga - Nesseby;1
5443;5443 Bï¿½tsfjord;2,5;2,6;108614;2200;2,6;NA;EKG06;KOSTRA-gruppe 6;B�tsfjord;1
5444;5444 Sï¿½r-Varanger;13,0;NA;445878;10103;13,0;NA;EKG08;KOSTRA-gruppe 8;S�r-Varanger;2
